1; 49
2; 49
3; 62
4; 57
5; 44
6; 229
7; 55
8; 54
9; 56
10; 66
11; 42
12; 221
13; 38
14; 68
15; 53
16; 70
17; 45
18; 258
19; 49
20; 60
21; 57
22; 53
23; 39
24; 241
25; 47
26; 67
27; 69
28; 62
29; 50
30; 241
31; 60
32; 65
33; 57
34; 54
35; 46
36; 231
37; 59
38; 66
39; 56
40; 59
41; 47
42; 235
43; 43
44; 69
45; 68
46; 65
47; 51
48; 243
49; 51
50; 60
51; 49
52; 64
53; 42
54; 225
55; 55
56; 56
57; 48
58; 60
59; 46
60; 221
61; 39
62; 66
63; 47
64; 57
65; 61
66; 222
67; 58
68; 61
69; 48
70; 54
71; 50
72; 213
73; 50
74; 68
75; 54
76; 68
77; 59
78; 221
79; 56
80; 65
81; 62
82; 61
83; 52
84; 229
85; 60
86; 51
87; 58
88; 50
89; 55
90; 223
91; 52
92; 65
93; 59
94; 47
95; 58
96; 226
97; 52
98; 66
99; 63
100; 66
101; 54
102; 219
103; 52
104; 65
105; 57
106; 49
107; 50
108; 207
109; 44
110; 68
111; 60
112; 53
113; 50
114; 217
115; 43
116; 67
117; 55
118; 59
119; 48
120; 213
121; 55
122; 87
123; 48
124; 51
125; 49
126; 206
127; 54
128; 77
129; 64
130; 53
131; 55
132; 243
133; 55
134; 83
135; 50
136; 63
137; 44
138; 221
139; 53
140; 69
141; 66
142; 50
143; 56
144; 202
145; 51
146; 63
147; 58
148; 45
149; 55
150; 222
151; 45
152; 79
153; 57
154; 61
155; 48
156; 203
157; 58
158; 93
159; 62
160; 68
161; 46
162; 196
163; 54
164; 73
165; 61
166; 52
167; 47
168; 194
169; 52
170; 74
171; 61
172; 55
173; 50
174; 196
175; 52
176; 90
177; 60
178; 65
179; 52
180; 215
181; 45
182; 89
183; 55
184; 56
185; 51
186; 210
187; 63
188; 89
189; 61
190; 44
191; 46
192; 213
193; 48
194; 59
195; 48
196; 73
197; 38
198; 205
199; 45
200; 87
201; 50
202; 67
203; 40
204; 192
205; 53
206; 95
207; 61
208; 67
209; 51
210; 204
211; 49
212; 90
213; 61
214; 53
215; 52
216; 216
217; 56
218; 90
219; 60
220; 63
221; 46
222; 196
223; 50
224; 88
225; 53
226; 60
227; 47
228; 184
229; 53
230; 88
231; 52
232; 58
233; 45
234; 196
235; 61
236; 90
237; 51
238; 61
239; 45
240; 190
241; 54
242; 99
243; 54
244; 60
245; 31
246; 201
247; 47
248; 75
249; 43
250; 71
251; 64
252; 189
253; 52
254; 99
255; 53
